prefix,year,season,label,folder,date,drone_serial,camera_serial,frames,photos,start_utc,edge_px,fine_detail,wide_share,fnumber,focus_mm,focus_finite_share,focus_values,drone,soft
surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202604271156_003_17/,2026,spring,M3M-red,DJI_202604271156_003_17,20260427,1581F5FKC249B00DE0MJ,493OM584AB0CXT,20,378,2026-04-27 18:02:24.360659+00:00,2.932628879507904,1.19009131193161,0.0,3.5,,0.0,1,red,False
surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202604271226_005_17/,2026,spring,M3M-red,DJI_202604271226_005_17,20260427,1581F5FKC249B00DE0MJ,493OM584AB0CXT,20,265,2026-04-27 18:32:31.950652+00:00,2.894790921310304,1.2457176446914673,0.0,3.5,46092.0,1.0,1,red,False
surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202604271259_006_17/,2026,spring,M3M-red,DJI_202604271259_006_17,20260427,1581F5FKC249B00DE0MJ,493OM584AB0CXT,20,292,2026-04-27 19:06:50.296744+00:00,3.3680011803608725,0.8012566268444061,0.0,3.35,4620.0,1.0,1,red,False
surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202604281055_009_8/,2026,spring,M3M-red,DJI_202604281055_009_8,20260428,1581F5FKC249B00DE0MJ,493OM584AB0CXT,20,406,2026-04-28 17:05:08.365800+00:00,2.4588698465319303,1.4381251335144043,0.0,2.8,,0.0,1,red,False
surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202604281125_011_8/,2026,spring,M3M-red,DJI_202604281125_011_8,20260428,1581F5FKC249B00DE0MJ,493OM584AB0CXT,20,584,2026-04-28 17:29:55.897181+00:00,2.8312082607522715,1.3378633856773376,0.0,2.8,46092.0,1.0,1,red,False
surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202604281158_013_8/,2026,spring,M3M-red,DJI_202604281158_013_8,20260428,1581F5FKC249B00DE0MJ,493OM584AB0CXT,20,418,2026-04-28 18:01:23.606230+00:00,3.0455856331429603,0.9746787250041962,0.05,3.2,3303.0,0.1,2,red,False
surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202604301048_014_6/,2026,spring,M3M-red,DJI_202604301048_014_6,20260430,1581F5FKC249B00DE0MJ,493OM584AB0CXT,20,284,2026-04-30 16:54:40.734413+00:00,3.2130454340206533,0.3238992393016815,0.0,2.8,6594.0,1.0,1,red,False
surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202604301111_016_6/,2026,spring,M3M-red,DJI_202604301111_016_6,20260430,1581F5FKC249B00DE0MJ,493OM584AB0CXT,20,475,2026-04-30 17:16:13.153326+00:00,3.0022805406545237,0.5243672132492065,0.0,2.8,11532.0,1.0,1,red,False
surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202604301142_017_6/,2026,spring,M3M-red,DJI_202604301142_017_6,20260430,1581F5FKC249B00DE0MJ,493OM584AB0CXT,20,409,2026-04-30 17:46:39.305008+00:00,2.7858736281952163,0.724942684173584,0.0,2.8,,0.0,1,red,False
surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202604301211_019_6/,2026,spring,M3M-red,DJI_202604301211_019_6,20260430,1581F5FKC249B00DE0MJ,493OM584AB0CXT,20,353,2026-04-30 18:15:08.841662+00:00,3.065148939194283,0.7360245287418365,0.0,3.2,,0.0,1,red,False
