year,season,label,folder,prefix,photos,first,last,date,duplicate_of
2026,summer,M3M-red,DJI_202606221102_005_17,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606221102_005_17/,242,20260622110944,20260622112540,20260622,
2026,summer,M3M-red,DJI_202606221102_006,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606221102_006/,1,20260622112542,20260622112542,20260622,
2026,summer,M3M-red,DJI_202606221132_007_17,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606221132_007_17/,299,20260622113809,20260622115226,20260622,
2026,summer,M3M-red,DJI_202606221132_008,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606221132_008/,1,20260622115229,20260622115229,20260622,
2026,summer,M3M-red,DJI_202606221158_009_17,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606221158_009_17/,44,20260622120248,20260622120449,20260622,
2026,summer,M3M-red,DJI_202606231022_001_2,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606231022_001_2/,421,20260623102723,20260623104832,20260623,
2026,summer,M3M-red,DJI_202606231022_002,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606231022_002/,1,20260623104835,20260623104835,20260623,
2026,summer,M3M-red,DJI_202606231051_003_2,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606231051_003_2/,398,20260623105858,20260623111905,20260623,
2026,summer,M3M-red,DJI_202606231051_004,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606231051_004/,1,20260623111909,20260623111909,20260623,
2026,summer,M3M-red,DJI_202606231124_005_2,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606231124_005_2/,333,20260623112934,20260623114819,20260623,
2026,summer,M3M-red,DJI_202606241108_006_12,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606241108_006_12/,481,20260624111414,20260624113810,20260624,
2026,summer,M3M-red,DJI_202606241108_007,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606241108_007/,1,20260624113813,20260624113813,20260624,
2026,summer,M3M-red,DJI_202606241140_008_12,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606241140_008_12/,472,20260624114244,20260624120636,20260624,
2026,summer,M3M-red,DJI_202606241140_009,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606241140_009/,1,20260624120639,20260624120639,20260624,
2026,summer,M3M-red,DJI_202606241210_010_12,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606241210_010_12/,284,20260624121430,20260624122805,20260624,
2026,summer,M3M-red,DJI_202606250959_011_18,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606250959_011_18/,430,20260625100218,20260625102311,20260625,
2026,summer,M3M-red,DJI_202606250959_012,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606250959_012/,1,20260625102314,20260625102314,20260625,
2026,summer,M3M-red,DJI_202606251026_013_18,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606251026_013_18/,476,20260625102852,20260625105226,20260625,
2026,summer,M3M-red,DJI_202606251056_014_18,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606251056_014_18/,91,20260625110014,20260625110541,20260625,
2026,summer,M3M-red,DJI_202606251241_015_13,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606251241_015_13/,500,20260625124419,20260625130821,20260625,
2026,summer,M3M-red,DJI_202606251311_016_13,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606251311_016_13/,315,20260625131427,20260625133418,20260625,
2026,summer,M3M-red,DJI_202606261048_001_10,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606261048_001_10/,271,20260626105514,20260626110808,20260626,
