kind,prefix,photo,partner_prefix,partner_photo,dist_m,ok,scale,inliers,fine_detail_ratio,edge_px,partner_edge_px,dark_floor,partner_dark_floor,contrast_span_ratio,contrast_cv_ratio,why
soft,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202605021147_041_14/,160,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202605021247_038_18/,220,16.935761852955718,True,0.9765066417819005,431.0,0.2802200741338598,4.48355480162096,3.133816582505294,0.5611510791366906,0.48905109489051096,0.849142224681793,0.8313220115272334,
soft,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202604281046_011_3/,110,surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202604281158_013_8/,90,11.786981573814257,True,1.0062107402425018,166.0,0.14382728832962657,5.242555663117135,3.0037708528160727,0.46846846846846846,0.2903225806451613,0.9013104013104013,0.7698026778675926,
soft,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202604281046_011_3/,319,surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202604281125_011_8/,553,21.18870481623732,True,0.9194302623797146,151.0,0.25755026692770533,4.907437245590231,2.906282245827011,0.6724137931034483,0.4672131147540984,0.6984732824427481,0.6376231580646238,
soft,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202604291021_017_10/,54,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202604281501_018_9/,23,12.831397302812116,False,,,,,,,,,,no registration
soft,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202604291021_017_10/,87,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202604281501_018_9/,52,9.984711019877867,False,,,,,,,,,,no registration
soft,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202604291021_017_10/,120,surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202605021242_025_15/,1,18.88977834531588,True,0.9595725035114241,139.0,0.2800919146860416,5.638343069569835,3.842131708695789,0.5,0.5072463768115942,1.0703960512398636,0.9961768543778727,
soft,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202604291021_017_10/,153,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202604281501_018_9/,116,8.359489494783825,True,0.9794611709619632,42.0,0.07639986295599605,6.354497354497354,3.2407711120702056,0.25984251968503935,0.3208955223880597,1.1137357830271215,1.0961112080064288,
soft,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202604291021_017_10/,252,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202604281501_018_9/,173,4.71206977417302,True,0.9826470899903462,65.0,0.15648012296621472,5.490538359982397,3.2361292892505547,0.16129032258064516,0.32592592592592595,1.1601004759386566,1.1394500197298296,
soft,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202604291021_017_10/,284,surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202605021242_026_15/,107,1.0910262288052297,True,1.026760935675272,177.0,0.05784810897577075,5.391167750785433,2.954303722670869,0.4083333333333333,0.4492753623188406,1.2026717557251907,1.243881382810515,
soft,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202604291051_018_10/,59,surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202605021242_026_15/,321,3.2091724869692717,True,1.014853077586635,156.0,0.14671848167183504,5.505897303522497,2.891682732029744,0.3793103448275862,0.3851851851851852,1.0183189655172415,0.9595555554634855,
soft,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202604291051_018_10/,528,surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202605021311_028_15/,261,4.127400866091009,False,,,,,,,,,,no registration
soft,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202605011105_032_12/,126,surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202605011203_024_7/,275,17.26704912403475,False,,,,,,,,,,no registration
soft,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202605011105_032_12/,368,surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202605011203_024_7/,105,5.423826298806321,True,0.9819537513257179,50.0,0.2660312724798319,4.096076738017396,2.8346824824343457,0.06060606060606061,0.04807692307692308,1.0146341463414634,0.9906926534535307,
soft,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202605021029_036_13/,70,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202605021208_042_14/,74,5.438692651803209,True,0.8631532924155482,284.0,0.09822189110600141,5.638464391691395,3.097462561269532,0.2920353982300885,0.13333333333333333,0.9547311095983662,0.8687857679760528,
soft,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202605021029_036_13/,113,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202605021208_042_14/,106,5.726702525003876,True,0.9922280575548466,339.0,0.08851043724748899,5.507434859715338,3.1743958994386134,0.336283185840708,0.16216216216216217,0.9117767188563649,0.8985403481962483,
soft,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202605021029_036_13/,156,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202605021208_042_14/,144,13.438819909955445,True,0.9615625020567377,479.0,0.16624461395906973,5.569188337273443,3.2360570687418937,0.38738738738738737,0.23076923076923078,0.8184419713831479,0.7996963981906307,
soft,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202605021029_036_13/,199,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202604281249_014_9/,274,5.723440218711562,True,0.96783008724753,293.0,0.22573028213387855,5.441820590756761,3.582693085321472,0.5234375,0.5285714285714286,1.0856481481481481,1.011782208459763,
soft,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202605021029_036_13/,328,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202605021208_042_14/,226,20.440437690561094,True,0.9831651004935464,237.0,0.1138626724116167,6.224422050978068,3.371755050864845,0.36363636363636365,0.2846715328467153,0.8977969882877858,0.8816697566754986,
soft,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202605021029_036_13/,501,surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202604281158_013_8/,139,19.84129193434409,True,0.8901867625984229,145.0,0.15643474611645006,6.045021645021645,3.191489977986328,0.4523809523809524,0.5303030303030303,0.9879984514130855,0.940924083693311,
soft,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202605021057_037_13/,74,surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202604281125_011_8/,506,21.695176898581472,False,,,,,,,,,,scale 0.79
soft,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202605021057_037_13/,187,surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202604281125_011_8/,392,23.647693959190857,True,0.8565473174059478,124.0,0.06230209642314879,5.7653441165872605,3.250618447402521,0.4603174603174603,0.18487394957983194,0.8677382966723068,0.8630307331741315,
soft,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202605021057_037_13/,299,surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202604281125_011_8/,288,21.211296015237288,True,0.9204926487088605,127.0,0.08495668973056995,5.07141410458946,2.961619798811157,0.35454545454545455,0.1623931623931624,0.9635913591359135,0.9612418519385418,
soft,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202605021057_037_13/,412,surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202604281125_011_8/,182,17.5097676192044,True,0.9644001203432419,88.0,0.056203078248722414,5.044225856875977,2.474057207912338,0.25,0.27927927927927926,1.033470206264324,1.044686907540135,
soft,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606221045_002_19/,68,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606251114_019_15/,448,7.617987505015076,True,0.9330323197640353,399.0,0.5094924589332849,3.8484313972533704,3.0198962447680247,0.45454545454545453,0.6,1.3287002253944402,1.3760703249663941,
soft,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606221045_002_19/,193,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606251114_019_15/,301,6.13117185963933,True,1.0084424684809943,521.0,0.40444174749030626,3.898498340617093,3.009109644275858,0.46774193548387094,0.5298507462686567,1.1333595594020456,1.1576663308535733,
soft,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606231200_006_5/,298,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606300842_003_10/,279,4.196192170392554,False,,,,,,,,,,no registration
soft,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606231200_006_5/,360,surveys/2026_front_country/summer/data_collection/M3M-green/DCIM/DJI_202606231203_005_6/,86,6.293862758081808,True,1.0109244096248728,183.0,0.2026651202258822,5.149746274928084,3.2348897009067534,0.1523809523809524,0.0975609756097561,0.7478961955152432,0.8426896787507163,
