kind,drone_1,drone_2,prefix_1,photo_1,prefix_2,photo_2,year,season,dist_m,hours_apart,irradiance_1,irradiance_2,G_dn_1,G_dn_2,G_camera_1,G_camera_2,G_reflectance_1,G_reflectance_2,R_dn_1,R_dn_2,R_camera_1,R_camera_2,R_reflectance_1,R_reflectance_2,RE_dn_1,RE_dn_2,RE_camera_1,RE_camera_2,RE_reflectance_1,RE_reflectance_2,NIR_dn_1,NIR_dn_2,NIR_camera_1,NIR_camera_2,NIR_reflectance_1,NIR_reflectance_2,ok,why
cross,blue,green,surveys/2025_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202507011307_009_19/,78,surveys/2025_front_country/summer/data_collection/M3M-green/DCIM/DJI_202507011305_016_15/,407,2025,summer,2.492370492201364,0.1788712411111111,18167.477,18830.926,,,,,,,,,,,,,,,,,,,,,,,,,False,no registration
cross,blue,green,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202604271216_004_19/,87,surveys/2026_front_country/spring/data_collection/M3M-green/DCIM/DJI_202604271302_010_16/,236,2026,spring,9.12608748877652,0.8168467847222222,16865.828,11822.584,13760.0,13888.0,223.53736877441406,153.40936279296875,0.006613624282181263,0.0064073596149683,9248.0,9152.0,202.62899780273438,136.92889404296875,0.007346910424530506,0.0067981514148414135,17120.0,16800.0,231.86427307128906,163.9353790283203,0.013333233073353767,0.012991826981306076,15104.0,15456.0,188.0560302734375,136.29190063476562,0.01680907793343067,0.016987774521112442,True,
cross,blue,green,surveys/2025_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202505011235_008_19/,301,surveys/2025_front_country/spring/data_collection/M3M-green/DCIM/DJI_202505011256_008_15/,91,2025,spring,11.813759461172411,0.22074290083333334,16846.43,17371.963,12768.0,13232.0,214.4060821533203,224.7606201171875,0.006350768730044365,0.006388677284121513,8480.0,8864.0,195.13650512695312,214.8633270263672,0.007173416204750538,0.0072915623895823956,15408.0,15968.0,182.70162963867188,200.3348846435547,0.010835478082299232,0.011266261339187622,13904.0,14416.0,145.5548553466797,153.7999267578125,0.01322855893522501,0.013688936829566956,True,
cross,blue,green,surveys/2025_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202507011210_006_19/,426,surveys/2025_front_country/summer/data_collection/M3M-green/DCIM/DJI_202507011213_014_15/,551,2025,summer,13.957600451811038,0.07624712305555556,17812.125,18130.256,,,,,,,,,,,,,,,,,,,,,,,,,False,no registration
cross,blue,green,surveys/2025_front_country/fall/data_collection/M3M-blue/DCIM/DJI_202510101259_027_3/,326,surveys/2025_front_country/fall/data_collection/M3M-green/DCIM/DJI_202510101319_014_8/,84,2025,fall,5.894832074698983,0.17704976583333332,11393.881,11536.008,,,,,,,,,,,,,,,,,,,,,,,,,False,no registration
cross,blue,green,surveys/2025_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202507011210_006_19/,172,surveys/2025_front_country/summer/data_collection/M3M-green/DCIM/DJI_202507011213_014_15/,252,2025,summer,0.4515145493812364,0.051154915555555555,17667.572,17348.559,14816.0,15216.0,280.732177734375,291.4612731933594,0.007928889244794846,0.008295777253806591,9792.0,10432.0,277.47344970703125,303.88232421875,0.009688882157206535,0.010373602621257305,16560.0,17152.0,227.65853881835938,239.09695434570312,0.013047521002590656,0.013377482071518898,14832.0,15520.0,182.7474365234375,189.90289306640625,0.01558657456189394,0.01621152088046074,True,
cross,blue,green,surveys/2025_front_country/fall/data_collection/M3M-blue/DCIM/DJI_202510091213_026_14/,230,surveys/2025_front_country/fall/data_collection/M3M-green/DCIM/DJI_202510091258_008_9/,214,2025,fall,4.326775257404308,0.6740809011111112,11106.353,11681.809,13408.0,13824.0,165.52377319335938,188.17520141601562,0.007436797022819519,0.00795411691069603,9040.0,8976.0,159.99990844726562,180.7816619873047,0.008764577098190784,0.00898677110671997,15536.0,15600.0,133.00167846679688,148.99664306640625,0.011890057474374771,0.012405764311552048,13200.0,14080.0,101.88291931152344,118.7763900756836,0.013550156727433205,0.015296774916350842,True,
cross,blue,green,surveys/2025_front_country/fall/data_collection/M3M-blue/DCIM/DJI_202510071142_016_6/,355,surveys/2025_front_country/fall/data_collection/M3M-green/DCIM/DJI_202510081201_004_11/,228,2025,fall,2.0094188011777168,24.203679309722222,11152.517,12078.161,9808.0,9984.0,69.11087036132812,76.79310607910156,0.0030922209843993187,0.003139503998681903,6384.0,5616.0,63.3802375793457,62.441192626953125,0.0034432888496667147,0.0029946803115308285,14448.0,13520.0,85.04388427734375,88.13211059570312,0.0074789985083043575,0.006987615022808313,12928.0,12592.0,75.7882080078125,78.43544006347656,0.010260757058858871,0.009833825752139091,True,
cross,red,blue,surveys/2025_front_country/summer/data_collection/M3M-red/DCIM/DJI_202507021204_020_16/,119,surveys/2025_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202507021133_013_20/,26,2025,summer,3.810777346351073,0.5981381383333333,21379.346,16282.132,14128.0,13920.0,255.50613403320312,224.56982421875,0.005967780482023954,0.006882357411086559,9648.0,9424.0,249.4537353515625,216.6288299560547,0.00732333492487669,0.008217046037316322,16224.0,16016.0,202.3009033203125,190.1173095703125,0.010312896221876144,0.01196693442761898,14640.0,14144.0,191.47265625,156.98004150390625,0.01257005799561739,0.014424950815737247,True,
cross,red,blue,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606241140_008_12/,214,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606241127_015_7/,258,2026,summer,7.64259520977304,0.2560988897222222,21047.928,16605.518,14896.0,13440.0,179.7703857421875,153.99722290039062,0.004264958202838898,0.004627618007361889,7696.0,7408.0,106.8993911743164,103.7001953125,0.0031919633038342,0.0038292300887405872,18960.0,17696.0,211.61871337890625,199.5855712890625,0.010875986889004707,0.011907940730452538,15888.0,15472.0,218.93252563476562,187.89398193359375,0.014828331768512726,0.016887862235307693,True,
cross,red,blue,surveys/2025_front_country/fall/data_collection/M3M-red/DCIM/DJI_202510071241_006_5/,417,surveys/2025_front_country/fall/data_collection/M3M-blue/DCIM/DJI_202510071237_020_6/,255,2025,fall,14.328537385490602,0.1077804886111111,14447.397,11766.593,7824.0,7520.0,23.425060272216797,19.627784729003906,0.0008096494129858911,0.0008323723450303078,4208.0,4464.0,14.541059494018555,13.525115966796875,0.0006220827344805002,0.0006998383323661983,11088.0,10480.0,32.1463508605957,26.87255859375,0.002330521121621132,0.0022435695864260197,9712.0,9200.0,38.650489807128906,31.33786392211914,0.0037158806808292866,0.003948709927499294,True,
cross,red,blue,surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202604301348_022_0/,153,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202604301323_024_1/,43,2026,spring,8.687440006525556,0.4963271397222222,21540.508,16758.342,12800.0,12832.0,173.59719848632812,162.29095458984375,0.0040243216790258884,0.004832371138036251,8432.0,8656.0,146.1788330078125,140.79266357421875,0.0042365435510873795,0.005163030698895454,15408.0,15920.0,165.4419708251953,166.93255615234375,0.008044710382819176,0.009764580056071281,13584.0,14256.0,152.42491149902344,139.01060485839844,0.00999336689710617,0.01248926017433405,True,
cross,red,blue,surveys/2025_front_country/summer/data_collection/M3M-red/DCIM/DJI_202507021134_018_16/,318,surveys/2025_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202507021133_013_20/,189,2025,summer,7.749549390346404,0.24711728694444446,20597.297,16438.801,13440.0,13008.0,243.6619873046875,219.13720703125,0.005907224491238594,0.006651859264820814,8736.0,8592.0,241.10682678222656,220.15310668945312,0.0073402877897024155,0.008276711218059063,15600.0,14944.0,200.66973876953125,185.90377807617188,0.010610917583107948,0.011569569818675518,13856.0,13424.0,184.0084228515625,153.38824462890625,0.012475568801164627,0.013996310532093048,True,
cross,red,blue,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606301025_010_10/,293,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606301005_007_9/,275,2026,summer,11.154360847650027,0.36391960055555556,16321.446,11765.508,12464.0,11984.0,127.48100280761719,106.08535766601562,0.0039002527482807636,0.004499267786741257,8608.0,8176.0,110.43864440917969,91.30316162109375,0.004050771240144968,0.0045687006786465645,14176.0,14048.0,107.4286117553711,100.60935974121094,0.006622676271945238,0.008112836629152298,12768.0,12224.0,110.32359313964844,90.29104614257812,0.008306963369250298,0.010090448893606663,True,
cross,red,blue,surveys/2026_front_country/spring/data_collection/M3M-red/DCIM/DJI_202604301142_017_6/,334,surveys/2026_front_country/spring/data_collection/M3M-blue/DCIM/DJI_202605011230_034_11/,353,2026,spring,10.079864400759933,24.762557985555556,20533.117,16794.01,,,,,,,,,,,,,,,,,,,,,,,,,False,no registration
cross,red,blue,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606241108_006_12/,134,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606241101_014_7/,345,2026,summer,13.563866102158226,0.06736131861111111,18823.139,14318.317,13136.0,11472.0,96.57955932617188,72.80430603027344,0.002562117762863636,0.0025372435338795185,8544.0,7680.0,54.8663330078125,42.553184509277344,0.0018301347736269236,0.0018283978570252657,16512.0,15104.0,128.13223266601562,105.988037109375,0.0073403529822826385,0.00734770018607378,13552.0,12880.0,141.71778869628906,111.39698791503906,0.01062534749507904,0.011546929366886616,True,
cross,red,blue,surveys/2026_front_country/summer/data_collection/M3M-red/DCIM/DJI_202606241108_006_12/,49,surveys/2026_front_country/summer/data_collection/M3M-blue/DCIM/DJI_202606241101_014_7/,179,2026,summer,1.656511412583598,0.09043259361111111,18511.055,13820.389,13280.0,13328.0,102.48257446289062,89.82449340820312,0.0027645521331578493,0.003243184182792902,8224.0,8480.0,61.56386184692383,56.22235107421875,0.0020867707207798958,0.0024970765225589275,16656.0,16592.0,130.94985961914062,121.66769409179688,0.007630933541804552,0.008677251636981964,14192.0,13552.0,144.72097778320312,117.55026245117188,0.011028141714632511,0.012566076591610909,True,
cross,red,blue,surveys/2025_front_country/fall/data_collection/M3M-red/DCIM/DJI_202510071241_006_5/,372,surveys/2025_front_country/fall/data_collection/M3M-blue/DCIM/DJI_202510071237_020_6/,310,2025,fall,13.395819094503926,0.03825065805555556,15156.144,11996.109,3872.0,3600.0,16.292320251464844,14.398537635803223,0.0005367847625166178,0.0005989285418763757,2048.0,1712.0,11.484846115112305,9.824065208435059,0.00046628614654764533,0.0004965418484061956,5680.0,5040.0,20.477310180664062,18.585906982421875,0.0014044251292943954,0.0015169627731665969,6800.0,5456.0,30.08380699157715,22.322364807128906,0.002741533797234297,0.002750018611550331,True,
